,3,5,7,8,10,11,12,13,15,16,18,19,21
,M1,M2,M3,I1,I2,I3,O1,O2,O3,A1,A2,A3,A13
SB Earth,1,,,,,,,,,,,,1
SB Live,,1,,,,,,,,1,,,
SB Neutral,,,1,,,,,,,,1,,
Vac Earth,,,,1,,,1,,,,,,
Vac Live,,,,,1,,,1,,,,,
Vac Neutral,,,,,,1,,,1,,,,
