,31,32,33,35,36,37,38,40,12,13,15,16,18
,R1,R2,R3,R4,R5,R6,R7,R8,X1,X2,X3,X4,X5
0v (Striped),1,,1,,1,,1,,1,,,,
Reset (Brown),,1,,,,,,,,1,,,
Tx (Green),,,,1,,,,,,,1,,
Rx (Blue),,,,,,1,,,,,,1,
24v (Orange),,,,,,,,1,,,,,1
