,11,12,13,15,16,18,19,21,22,23,24,26,29
,X1,X2,X3,X4,X5,R1,R2,R3,R4,R5,R6,R7,R8
0v (Striped),1,,,,,1,,1,,1,,1,
Reset (Brown),,1,,,,,,,,,,,1
Tx (Green),,,1,,,,,,,,1,,
Rx (Blue),,,,1,,,,,1,,,,
24v (Orange),,,,,1,,1,,,,,,
