,22,23,24,26,29,31,32,33,35,36,3,5,7,8,10,11,12,13,15
,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,A4,A5,A6,A7,A8,A9,A10,A11,A12
Y step,,,,1,,,,,,,1,,,,,,,,
Y min,,,,,1,,,,,,,1,,,,,,,
Y max,,,,,,1,,,,,,,1,,,,,,
Aux,,,,,,,,1,,,,,,1,,,,,
Y dir,,,1,,,,,,,,,,,,1,,,,
SPI_MISO,,1,,,,,,,,,,,,,,1,,,
SPI_MOSI,1,,,,,,,,,,,,,,,,1,,
SPI_CLK,,,,,,,,,1,,,,,,,,,1,
SPI_CS,,,,,,,,,,1,,,,,,,,,1
GND,,,,,,,1,,,,,,,,,,,,
